f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
79123289.81227995,(1579.722492239217-290.69386833861506j),(1800.8205382865094-867.5331455158823j),(1637.157963903142-1434.8017403169206j),(1256.9658247357283-1738.5257298449346j),(891.5031967879527-1798.5166425300165j),(620.733208685494-1735.0231394289633j),(436.2026298490345-1628.2520182972187j),(312.34721829185344-1514.1602355780883j),(228.33879021602564-1406.103804128071j),(170.2542447125343-1308.0378928698224j),(129.23758180547202-1220.3498946550753j),(99.67606200645915-1142.2051838602104j),(77.96541409009538-1072.45322231482j)
79726989.64569968,(1579.083836814324-298.1849689604302j),(1792.6019921930874-877.0343863558132j),(1621.3728934225105-1438.9674170257417j),(1239.9870548602685-1734.573196108653j),(877.5179232756767-1789.2760163437692j),(610.3303462831626-1723.579326519723j),(428.6688951520821-1616.3156570531478j),(306.8716228672313-1502.4800049525352j),(224.30065180634176-1394.9574591876556j),(167.22321196781215-1297.4980987450645j),(126.92209421342635-1210.4056763186982j),(97.87789954388484-1132.8146372283595j),(76.5479835819877-1063.565870354992j)
80335295.62592812,(1578.3519199337768-305.706214822215j),(1784.2305764200619-886.439707862722j),(1605.5627775269122-1442.9044891365895j),(1223.1462563450705-1730.4425500259674j),(863.7175979449463-1779.9728972245239j),(600.090289695146-1712.1524236704497j),(421.2612998664906-1604.435232646279j),(301.49025949808623-1490.8713506367242j),(220.33271848446867-1383.8869726405185j),(164.24500747987125-1287.0333306695502j),(124.64693010758351-1200.533508175074j),(96.11098491144072-1123.4923956070636j),(75.15512424918404-1054.7429327149955j)
80948242.89723292,(1577.5256238522234-313.256388427565j),(1775.7079586506811-895.7458754977288j),(1589.7325123011228-1446.6135221085158j),(1206.4454439036476-1726.1379777950137j),(850.1010989882735-1770.610776367458j),(590.0109411519048-1700.744203622421j),(413.9778583773115-1592.6113273516958j),(296.2015264621355-1479.334218449089j),(216.43375888821666-1372.8919839888363j),(161.3186936726558-1276.6430929178905j),(122.41137185365689-1190.7328439345056j),(94.37476279570988-1114.2379030654006j),(73.78640089140615-1045.9838629771264j)
81565866.87202734,(1576.6038465989445-320.83423678066265j),(1767.0358993226118-904.9496910033854j),(1573.886949654811-1450.095212570984j),(1189.8865082684724-1721.6636625831693j),(836.667254164404-1761.193070172737j),(580.0902089189262-1689.356377617676j),(406.81660918849104-1580.8444883654593j),(291.00384709048296-1467.868537387489j),(212.6025627877309-1361.9721261720376j),(158.4433496946649-1266.3268885668597j),(120.21471481943753-1181.0031388055804j),(92.6686879926492-1105.0506064597594j),(72.4413862278317-1037.28811806144j)
82188203.23,(1575.5855031157216-328.4384713878481j),(1758.2162506843288-914.0479956667102j),(1558.030893144774-1453.350385801391j),(1173.4712181567993-1717.0237808861903j),(823.4148435270083-1751.7231204302116j),(570.3260083473099-1677.9905967264633j),(399.7756149851241-1569.1352288643454j),(285.8956694974067-1456.474220263463j),(208.8379407631976-1351.127025909406j),(155.61807113185924-1256.0842196666886j),(118.05626714053793-1171.3438495721753j),(90.99222522139527-1095.9299554568597j),(71.1196607500749-1028.6551582190384j)
82815287.93475981,(1574.4695264104882-336.0677682959673j),(1749.250955715257-923.0376735546688j),(1542.1690939389175-1456.37999305455j),(1157.201222325471-1712.2224990223044j),(810.3426020865584-1742.2041945777628j),(560.716262866735-1666.6484531638498j),(392.85296267186897-1557.484029036606j),(280.8754663072858-1445.1511643194165j),(205.13872388503034-1340.3563040302952j),(152.84196972427884-1245.9145874038736j),(115.93534948932029-1161.7544346627483j),(89.34484894132389-1086.8754025538913j),(69.82081257797134-1020.0844470244606j)
83447157.20674579,(1573.2548687255608-343.7207681690094j),(1740.1420469095383-931.915654716493j),(1526.3062469300507-1459.1851087525201j),(1141.0780517154417-1707.2639697654108j),(797.4492224049862-1732.6394860295327j),(551.2589049269343-1655.3314816000784j),(386.04676339395064-1545.8913370934797j),(275.9417343783348-1433.8992518273794j),(201.50376339749147-1329.659575795165j),(150.11417308743148-1235.81749225987j),(113.85129484844074-1152.2343542191688j),(87.72604317247811-1077.8864030966827j),(68.54443731808897-1011.5754513670846j)
84083847.55448765,(1571.9405027192302-351.3960764040831j),(1730.8916449250537-940.6789183455859j),(1510.4469870017726-1461.7669275436265j),(1125.1031216702863-1702.1523291146093j),(784.7333571220087-1723.0321145694033j),(541.9518768859634-1644.0411604589954j),(379.3551525376014-1534.3575702541011j),(271.0929945233196-1422.7183506691447j),(197.93193040416926-1319.036451202391j),(147.43382443732958-1225.792434161624j),(111.8034482879052-1142.7830701601652j),(86.13530131928046-1068.9624152959843j),(67.29013792483002-1003.1276414408858j)
84725395.76213115,(1570.5254226596667-359.0922632873721j),(1721.5019570985246-949.3244958950189j),(1494.5958854513437-1464.1267612393965j),(1109.277734227493-1696.8916932026077j),(772.1936214142901-1713.3851268069507j),(532.7931318498113-1632.7789132071657j),(372.7762897144554-1522.8831157106022j),(266.3277912283102-1411.6083148999542j),(194.42211555757467-1308.4865352880256j),(144.8000823199077-1215.83891262708j),(109.79116674615622-1133.4000462421918j),(84.57212599747143-1060.1029002417376j),(66.0575245642003-994.7404907335499j)
85371838.89448029,(1569.0086456293175-366.8078641921584j),(1711.9752758296008-957.849474139392j),(1478.757446575126-1466.2660356383212j),(1093.6030804707714-1691.4861553408962j),(759.8285953843327-1703.7014966897166j),(523.780634462775-1621.5461096299284j),(366.3083587276695-1511.4683315676089j),(261.6446923696632-1400.5689852956853j),(190.97322875096003-1298.0094284126192j),(142.21212034438045-1205.9564269042162j),(107.8138188147735-1124.084748116229j),(83.03602886421064-1051.3073219154608j),(64.84621448014394-986.4134760145487j)
